도서명,저자,출판사,출판일,정가,판매가,도서 소개,판매지수,평점,책 이미지 URL
재테크 시작하기,"감형규,신용재,조영석",율곡출판사,2024-01-12,27000,27000,"성공적인 재테크를 위해서는 금융시장 및 금융상품에 대한 정보는 물론 경제·경영분야와 관련된 이론 및 실무 지식에 대한 기본적인 이해가 필요하다. 이에 저자들은 재테크 초보자 또는 대학생들에게 재테크와 투자에 관한 핵심 내용을 알기 쉽게 설명하고자 하였다. 또한 재테크 및 금융상품의 기본적 개념과 이론을 실제 현장에서 나타나는 실무를 고려하여 본서를 저술하고자 노력하였다. 이번 개정판에서 주안점을 둔 분야는 다음과 같다.<br/><br/>첫째, 최신의 재테크와 금융상품 트렌드를 최대한 반영하여 실질적인 도움이 되도록 하였다. 재테크와",444,10.0,
장병 자기계발 완벽 가이드북,"최준형,박광희",더메이커,2025-01-22,17800,16020,"<b>“이 책을 군 복무 기간을 성장의 시기로 바라보는 <br/>장병들을 돕기 위해서 집필하였다.”<br/><br/>입대/현역/전역준비 장병 필독서!!</b><br/><br/>18개월이라는 군 복무 기간은 인생에 있어 결코 짧지 않은 소중한 시간이다. 이 시간을 어떻게 보내느냐에 따라 군 생활은 인생의 터닝포인트가 될 수도 있다. 그렇다면 군 생활을 ‘해야 하니까 어쩔 수 없이’가 아니라, 능동적으로 그리고 단계적으로 설계할 필요가 있다. 즉 군 생활을 전략적으로 바라봐야 한다. 이 책은 군 복무 기간을 성장의 시기로 바라보는 장병",1050,10.0,
사회초년생을 위한 재테크 첫걸음,성동규,북스토리,2015-10-10,14800,13320,"<b>재테크 습관도 첫 단추를 잘 꿰는 게 중요하다!<br/>준비 없이 걱정만 가득한 사회초년생을 위한 똑똑한 금융 교과서</b><br/><br/>사회초년생은 지금까지 스펙을 쌓기 위해 토익이나 자격증, 봉사활동에 주력해왔다면 이제는 사회인으로 인정받을 수 있도록 독립적인 경제생활의 주체가 되어야 하는 과제를 떠안았다. 가깝게는 결혼자금이나 전세자금에서부터 길게는 은퇴 후의 노후자금까지 목돈이 들어갈 곳이 한두 곳이 아니므로 하루라도 빨리 인생의 재무목표를 세우고 똑똑한 재테크 습관을 길러야 한다. 이 책에는 현재 금융시장에서 반드",222,9.4,
행복하냐는 질문에 대답할 수 없다면,"알랭 드 보통,인생학교,신인수",미래엔아이세움,2022-03-30,13000,11700,"<b>사실은 괜찮지 않은 당신, <br> 일상의 철학자, 알랭 드 보통이 건네는 마음 처방전<br> </b><br> “애들이 힘들 게 뭐가 있니?”라고 묻는 어른들의 질문에 해 주고 싶은 말. <br> “내 인생도 꽤 괴롭다고요!” <br> 어른들은 몰라요. 부모님, 친구, 성적 등 우리도 나름대로 속 시끄러운 일들이 많은데 말이지요. 마음에 문제가 생겼을 때는 붕대를 감아 봤자 소용없어요. 학교생활이 즐겁지 않거나 부모님 때문에 짜증이 날 때, 문제를 한 방에 해결해 주는 알약도 없지요. 하지만 쓸데없는 걱정을 줄이고, 일이 틀어",3687,9.9,
"내 집 없이 월세 받는 쉐어하우스, 에어비앤비, 파티룸 재테크",신재,원앤원북스,2021-05-18,17000,15300,"<b>내 집 없이 놀고 먹고 자면서 돈 버는 똑똑한 방법<br/>1,500만 원으로 공간대여업 재테크 시작하기!</b><br/><br/>부업 삼아 재테크 한번 해보고 싶은데 목돈은 없고, 이왕이면 머리 아픈 일보다 즐겁고 신나는 일을 하고 싶고, 사람들과 어울리는 게 즐거운 사람이라면 주목하라. 당신에게 딱 맞는 공간대여업 재테크가 있다. 공간대여업은 쉐어하우스와 에어비앤비, 파티룸과 같이 내가 갖고 있거나 임대한 공간을 타인에게 대여해주면서 수익을 내는 사업이다. 효율적인 운영 방식으로 누구나 손쉽게 도전할 수 있을 뿐만 아니라,",2070,9.9,
맘마미아 월급 재테크 실천법,맘마미아,진서원,2019-12-06,18000,16200,"<b>이 책대로 하면 당신도 월급쟁이 부자가 된다!<br/>진짜 월급쟁이가 써서 신뢰도 200%<br/></b><br/>지난 4년간 끊임없이 베스트셀러에 오를 만큼 수많은 월급쟁이들의 공감과 지지를 받은 『맘마미아 월급재테크 실천법』이 전면개정판으로 강력하게 돌아왔다. 흙수저 월급쟁이로 시작했지만 꾸준한 재테크 실천으로 현재는 경제적 자유인이 된 이 책의 저자 맘마미아는, 자신이 직접 경험한 재테크 노하우를 공유하고자 ‘월급쟁이 재테크 연구’ 카페를 창설했다. 첫 책을 낸 4년 후에도 여전히 월급쟁이로 남아있어 카페와 호흡을 함께 ",1998,9.7,
[세트] 데일카네기 자기계발 시리즈(전5권),데일카네기,더클래식,2015-12-14,5500,5500,"""진정한 성공이란 무엇인가 마음의 평화와 행복부터 찾아 주는 참성공학!  사람의 마음을 얻는 인간관계 비법 걱정과 스트레스 해소법 21세기 핵심 경쟁력, 최고의 대화법 위인 링컨을 통해 성찰한 현재를 살아가는 이유 행복과 성공의 길로 안내하는 명사 서른일곱 명의 이야기 참성공학의 신화 데일 카네기의 인생 지침서 5권 시리즈 출간!  데일 카네기 자기계발 시리즈를 꾸준히 출간해 온 더클래식이《데일 카네기 자기계발 시리즈 5권》을 세트로 묶었다. 자기계발의 신화이자 행복과 성공의 핵심 비법을 전한 데일 카네기의 이론과 실천법을 만날 수",3342,9.7,
2025 대한민국 재테크 트렌드,조선일보 경제부,원앤원북스,2025-02-18,23000,20700,"<B>장기화되는 경기 침체 속<br/>안전하게 자산을 지키고 불릴 지혜<br/>“위험을 기회로 접근하라!”</B><br/><br/>2025년, 우리나라 경제와 투자 환경은 거대한 변화의 소용돌이 속에 있다. 트럼프 2기 행정부 출범과 세계적인 금리 인하 흐름, 인구 감소와 공급 부족으로 인한 부동산 시장 변화, 새로운 금융·투자 패러다임이 투자자들에게 기회와 도전을 동시에 보내고 있다. 『2025 대한민국 재테크 트렌드』는 〈조선일보〉가 주최하는 ‘2025 대한민국 재테크 박람회’에서 엄선한 강연을 정리했다. 거시경제 전망부터 부동",744,9.9,
이것부터 읽고 재테크하라,최환희,바른북스,2025-06-12,9900,8910,"들어가며<br/>감사의 글<br/><br/><b>1장 돈에 대한 올바른 생각과 신념에서 부는 시작된다</b><br/><br/>돈의 의미 탐구하기<br/>금융과 재테크는 습관이자 기술이다<br/>부자들의 공통점<br/>MBTI로 알아보는 금융 가치관<br/>노력하지 않은 돈은 절대 내 것이 아니다<br/>돈의 진짜 의미 찾기<br/>금융 가치관 형성의 3원칙<br/><br/><b>2장 제대로 목돈 모으는 10가지 방법</b><br/><br/>Chapter 1 목돈 모으는 10가지 방법<br/>첫 번째, 스스로 목돈을 명확하게 정의하라",501,0.0,
호호양의 미니멀 재테크,전유경,21세기북스,2021-03-24,17000,15300,<b>부자 되는 과정이 힘들어 포기하는 사람들을 위한 책<br> “돈 모아서 행복할 생각 말고 돈 모으면서 행복하자!”</b><br> <br> 소비 대장이었던 그녀는 어떻게 수억 원대 자산을 보유한 실속형 부자로 거듭날 수 있었을까? 자타공인 ‘재테크 여왕’이라 불리는 전유경(호호양)이 자신의 좌충우돌 재테크 성공기를 담은 첫 단행본을 발간한다. 재테크는 왠지 복잡하고 어려워서 아무나 할 수 없는 것이라고 쉽게 포기하는 ‘재포족(재테크를 포기하는 사람들)’을 위한 돈 공부 입문서다. ‘나는 왜 돈을 모으지 못했을까?’라는 현실 진단,204,9.5,
